X,CH1,CH2,CH4,Start,Increment
Sequence,Volt,Volt,Volt,-0.0006,1E-06
325,-0.016,0.08,9.8,,
326,-0.008,0.08,9.8,,
327,-0.008,0.08,9.8,,
328,0,0.08,9.8,,
329,0,0.08,9.8,,
330,-0.008,0.08,9.8,,
331,-0.008,0.08,9.8,,
332,-0.008,0.08,9.8,,
333,-0.008,0.08,9.8,,
334,-0.008,0.08,10,,
335,-0.008,0.08,10,,
336,-0.008,0.08,10,,
337,-0.008,0.08,10,,
338,-0.008,0.08,9.8,,
339,-0.008,0.08,9.8,,
340,-0.008,0.08,9.8,,
341,-0.008,0.08,9.8,,
342,0,0.08,9.8,,
343,0,0.08,9.8,,
344,0,0.08,9.8,,
345,0,0.08,9.8,,
346,-0.008,0,9.8,,
347,-0.008,0,9.8,,
348,-0.008,0,10,,
349,-0.008,0,10,,
350,0,0,10,,
351,0,0,10,,
352,-0.008,0,10,,
353,-0.008,0,10,,
354,-0.008,0.08,9.8,,
355,-0.008,0.08,9.8,,
356,-0.008,0.08,9.8,,
357,-0.008,0.08,9.8,,
358,-0.008,0.08,9.8,,
359,-0.008,0.08,9.8,,
360,0,0.08,9.8,,
361,0,0.08,9.8,,
362,-0.008,0.08,9.8,,
363,-0.008,0.08,9.8,,
364,-0.008,0.08,10,,
365,-0.008,0.08,10,,
366,-0.008,0,9.8,,
367,-0.008,0,9.8,,
368,-0.008,0.08,9.8,,
369,-0.008,0.08,9.8,,
370,0,0.08,9.8,,
371,0,0.08,9.8,,
372,-0.016,0.08,9.8,,
373,-0.016,0.08,9.8,,
374,-0.008,0.08,9.8,,
375,-0.008,0.08,9.8,,
376,-0.008,0.08,9.8,,
377,-0.008,0.08,9.8,,
378,-0.008,0.08,9.8,,
379,-0.008,0.08,9.8,,
380,-0.008,0.08,9.8,,
381,-0.008,0.08,9.8,,
382,-0.008,0.08,9.8,,
383,-0.008,0.08,9.8,,
384,-0.008,0.08,9.8,,
385,-0.008,0.08,9.8,,
386,-0.008,0.08,10,,
387,-0.008,0.08,10,,
388,-0.008,0.08,10,,
389,-0.008,0.08,10,,
390,-0.008,0.08,9.8,,
391,-0.008,0.08,9.8,,
392,-0.008,0.08,9.8,,
393,-0.008,0.08,9.8,,
394,-0.008,0.08,9.8,,
395,-0.008,0.08,9.8,,
396,-0.008,0.08,9.8,,
397,-0.008,0.08,9.8,,
398,0,0.08,9.8,,
399,0,0.08,9.8,,
400,-0.016,0,9.8,,
401,-0.016,0,9.8,,
402,-0.016,0,10,,
403,-0.016,0,10,,
404,-0.008,0.08,10,,
405,-0.008,0.08,10,,
406,-0.008,0.08,10,,
407,-0.008,0.08,10,,
408,-0.008,0.08,10,,
409,-0.008,0.08,10,,
410,-0.008,0.08,9.8,,
411,-0.008,0.08,9.8,,
412,-0.008,0,9.8,,
413,-0.008,0,9.8,,
414,-0.008,0.08,9.8,,
415,-0.008,0.08,9.8,,
416,-0.008,0.08,10,,
417,-0.008,0.08,10,,
418,-0.008,0.08,10,,
419,-0.008,0.08,10,,
420,-0.008,0.08,9.8,,
421,-0.008,0.08,9.8,,
422,-0.008,0.08,9.8,,
423,-0.008,0.08,9.8,,
424,-0.008,0.08,9.8,,
425,-0.008,0.08,9.8,,
426,-0.008,0.08,10,,
427,-0.008,0.08,10,,
428,-0.008,0.08,9.8,,
429,-0.008,0.08,9.8,,
