X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-3E-05,5E-08
290,-6.8,-0.122,0.124,0,,
291,-6.8,-0.122,0.124,0,,
292,-6.8,-0.122,0.124,0,,
293,-6.8,-0.122,0.124,0,,
294,-7,-0.122,0.124,0,,
295,-7,-0.122,0.124,0,,
296,-7,-0.122,0.124,-0.2,,
297,-7,-0.122,0.124,-0.2,,
298,-7.4,-0.122,0.124,0,,
299,-7.4,-0.122,0.124,0,,
300,-7.4,-0.122,0.124,0,,
301,-7.4,-0.122,0.124,0,,
302,-7.6,-0.122,0.124,-0.2,,
303,-7.6,-0.122,0.124,-0.2,,
304,-7.4,-0.122,0.124,-0.2,,
305,-7.4,-0.122,0.124,-0.2,,
306,-7.8,-0.122,0.124,-0.2,,
307,-7.8,-0.122,0.124,-0.2,,
308,-7.8,-0.122,0.124,-0.2,,
309,-7.8,-0.122,0.124,-0.2,,
310,-7.8,-0.122,0.124,0,,
311,-7.8,-0.122,0.124,0,,
312,-7.8,-0.122,0.124,0,,
313,-7.8,-0.122,0.124,0,,
314,-8,-0.122,0.124,-0.2,,
315,-8,-0.122,0.124,-0.2,,
316,-8.2,-0.122,0.124,-0.2,,
317,-8.2,-0.122,0.124,-0.2,,
318,-8,-0.122,0.124,-0.2,,
319,-8,-0.122,0.124,-0.2,,
320,-8.2,-0.122,0.124,-0.2,,
321,-8.2,-0.122,0.124,-0.2,,
322,-8.4,-0.122,0.124,-0.2,,
323,-8.4,-0.122,0.124,-0.2,,
324,-8.4,-0.122,0.124,0,,
325,-8.4,-0.122,0.124,0,,
326,-8.4,-0.122,0.124,0,,
327,-8.4,-0.122,0.124,0,,
328,-8.4,-0.122,0.124,-0.2,,
329,-8.4,-0.122,0.124,-0.2,,
330,-8.6,-0.122,0.124,0,,
331,-8.6,-0.122,0.124,0,,
332,-8.4,-0.122,0.124,0,,
333,-8.4,-0.122,0.124,0,,
334,-8.6,-0.122,0.124,-0.2,,
335,-8.6,-0.122,0.124,-0.2,,
336,-8.8,-0.122,0.124,0,,
337,-8.8,-0.122,0.124,0,,
338,-8.8,-0.122,0.124,0,,
339,-8.8,-0.122,0.124,0,,
340,-8.8,-0.122,0.124,0,,
341,-8.8,-0.122,0.124,0,,
