X,CH1,CH2,CH3,CH4,Start,Increment
Sequence,Volt,Volt,Volt,Volt,-0.000704,1E-06
234,0,0,-0.0254,0,,
235,0,0,-0.0254,0,,
236,0.0008,0,-0.0254,0,,
237,0.0008,0,-0.0254,0,,
238,0.0008,-0.02,-0.0254,0,,
239,0.0008,-0.02,-0.0254,0,,
240,0.0008,0,-0.0254,0,,
241,0.0008,0,-0.0254,0,,
242,0,0,-0.0254,0,,
243,0,0,-0.0254,0,,
244,0.0016,0,-0.0254,0,,
245,0.0016,0,-0.0254,0,,
246,0,0,-0.0254,0,,
247,0,0,-0.0254,0,,
248,0.0008,-0.02,-0.0254,0.08,,
249,0.0008,-0.02,-0.0254,0.08,,
250,0.0008,-0.02,-0.0254,0.08,,
251,0.0008,-0.02,-0.0254,0.08,,
252,0,-0.02,-0.0254,0.08,,
253,0,-0.02,-0.0254,0.08,,
254,0,0,-0.0254,0.08,,
255,0,0,-0.0254,0.08,,
256,0.0008,-0.02,-0.0254,0,,
257,0.0008,-0.02,-0.0254,0,,
258,0,0,-0.0254,0,,
259,0,0,-0.0254,0,,
260,0,-0.02,-0.0254,0,,
261,0,-0.02,-0.0254,0,,
262,0.0008,-0.02,-0.0254,0,,
263,0.0008,-0.02,-0.0254,0,,
264,0.0008,0,-0.0254,0.08,,
265,0.0008,0,-0.0254,0.08,,
266,0.0008,0,-0.0254,0,,
267,0.0008,0,-0.0254,0,,
268,0.0008,0,-0.0254,0,,
269,0.0008,0,-0.0254,0,,
270,0,0,-0.0254,0,,
271,0,0,-0.0254,0,,
272,0,0,-0.0254,0.08,,
273,0,0,-0.0254,0.08,,
274,0,-0.02,-0.0254,0.08,,
275,0,-0.02,-0.0254,0.08,,
276,0.0008,0,-0.0254,0.08,,
277,0.0008,0,-0.0254,0.08,,
278,0,-0.02,-0.0254,0.08,,
279,0,-0.02,-0.0254,0.08,,
280,0.0008,0,-0.0254,0,,
281,0.0008,0,-0.0254,0,,
282,0,-0.02,-0.0254,0,,
283,0,-0.02,-0.0254,0,,
284,0.0008,0,-0.0254,0,,
285,0.0008,0,-0.0254,0,,
286,0.0008,-0.02,-0.0254,0,,
287,0.0008,-0.02,-0.0254,0,,
288,0.0016,-0.02,-0.0254,0.08,,
289,0.0016,-0.02,-0.0254,0.08,,
290,0.0008,-0.02,-0.0254,0,,
291,0.0008,-0.02,-0.0254,0,,
292,0.0008,-0.02,-0.0254,0,,
293,0.0008,-0.02,-0.0254,0,,
294,0.0008,0,-0.0254,0,,
